File name,Icon,Name,Type,Subtype,Description,Prerequisite,Cost,Visible
ifrm_force01.png,,Force Channel,Feat,Form,,,5,FALSE
ifrm_force02.png,,Force Affinity,Feat,Form,,Force Channel,10,FALSE
ifrm_force03.png,,Force Potency,Feat,Form,,Force Affinity,15,FALSE
ifrm_force04.png,,Force Mastery,Feat,Form,,Force Potency,20,FALSE
ifrm_saber01.png,,Form I: Shii-Cho (Determination),Feat,Form,,,5,TRUE
ifrm_saber01.png,,Affinity: Form I: Shii-Cho (Determination),Feat,Form,,Form I: Shii-Cho (Determination),10,TRUE
ifrm_saber01.png,,Mastery: Form I: Shii-Cho (Determination),Feat,Form,,Affinity: Form I: Shii-Cho (Determination),15,TRUE
ifrm_saber02.png,,Form II: Makashi (Contention),Feat,Form,,,5,TRUE
ifrm_saber02.png,,Affinity: Form II: Makashi (Contention),Feat,Form,,Form II: Makashi (Contention),10,TRUE
ifrm_saber02.png,,Mastery: Form II: Makashi (Contention),Feat,Form,,Affinity: Form II: Makashi (Contention),15,TRUE
ifrm_saber03.png,,Form III: Soresu (Resilience),Feat,Form,,,5,TRUE
ifrm_saber03.png,,Affinity: Form III: Soresu (Resilience),Feat,Form,,Form III: Soresu (Resilience),10,TRUE
ifrm_saber03.png,,Mastery: Form III: Soresu (Resilience),Feat,Form,,Affinity: Form III: Soresu (Resilience),15,TRUE
ifrm_saber04.png,,Form IV: Ataru (Aggression),Feat,Form,,,5,TRUE
ifrm_saber04.png,,Affinity: Form IV: Ataru (Aggression),Feat,Form,,Form IV: Ataru (Aggression),10,TRUE
ifrm_saber04.png,,Mastery: Form IV: Ataru (Aggression),Feat,Form,,Affinity: Form IV: Ataru (Aggression),15,TRUE
ifrm_saber05.png,,Form V: Shien (Perseverance),Feat,Form,,,5,TRUE
ifrm_saber05.png,,Affinity: Form V: Shien (Perseverance),Feat,Form,,Form V: Shien (Perseverance),10,TRUE
ifrm_saber05.png,,Mastery: Form V: Shien (Perseverance),Feat,Form,,Affinity: Form V: Shien (Perseverance),15,TRUE
ifrm_saber06.png,,Form VI: Niman (Moderation),Feat,Form,,,5,TRUE
ifrm_saber06.png,,Affinity: Form VI: Niman (Moderation),Feat,Form,,Form VI: Niman (Moderation),10,TRUE
ifrm_saber06.png,,Mastery: Form VI: Niman (Moderation),Feat,Form,,Affinity: Form VI: Niman (Moderation),15,TRUE
ifrm_saber07.png,,Form VII: Juyo (Ferocity),Feat,Form,,,5,TRUE
ifrm_saber07.png,,Affinity: Form VII: Juyo (Ferocity),Feat,Form,,Form VII: Juyo (Ferocity),10,TRUE
ifrm_saber07.png,,Mastery: Form VII: Juyo (Ferocity),Feat,Form,,Affinity: Form VII: Juyo (Ferocity),15,TRUE
if_2weap01.png,,Two-Weapon Fighting,Feat,,,,5,FALSE
if_2weap02.png,,Improved Two-Weapon Fighting,Feat,,,Two-Weapon Fighting,10,FALSE
if_2weap03.png,,Master Two-Weapon Fighting,Feat,,,Improved Two-Weapon Fighting,15,FALSE
if_armprof01.png,,Armor Proficiency Light,Feat,,,,5,TRUE
if_armprof02.png,,Armor Proficiency Medium,Feat,,,Armor Proficiency Light,10,TRUE
if_armprof03.png,,Armor Proficiency Heavy,Feat,,,Armor Proficiency Medium,15,TRUE
if_assassin01.png,,Assassin Protocols,Feat,,,,5,FALSE
if_assassin02.png,,Modified Assassin Protocols,Feat,,,Assassin Protocols,10,FALSE
if_assassin03.png,,Integrated Assassin Protocols,Feat,,,Modified Assassin Protocols,15,FALSE
if_battlemed.png,,,Feat,Power,Not needed?,,,FALSE
if_blastint.png,,Blaster Integration,Feat,,"This feat grants Expert Droids the ability to integrate blasters into their frames to act as self-contained weapons systems. Special universal ports allow internal placement of most models of blaster pistol, tapping the energy pack and emitters as though factory installed.",Droid,5,FALSE
if_cautious01.png,,Caution,Feat,,,,5,TRUE
if_cautious02.png,,Improved Caution,Feat,,,Caution,10,TRUE
if_cautious03.png,,Master Caution,Feat,,,Improved Caution,15,TRUE
if_ccombat01.png,,Close Combat,Feat,,,,5,FALSE
if_ccombat02.png,,Improved Close Combat,Feat,,,Close Combat,10,FALSE
if_clsskill01.png,,,Feat,,,,,FALSE
if_clsskill02.png,,,Feat,,,,,FALSE
if_clsskill03.png,,,Feat,,,,,FALSE
if_clsskill04.png,,,Feat,,,,,FALSE
if_clsskill05.png,,,Feat,,,,,FALSE
if_clsskill06.png,,,Feat,,,,,FALSE
if_clsskill07.png,,,Feat,,,,,FALSE
if_craft.png,,,Feat,,,,,FALSE
if_crtstrk01.png,,Critical Strike,Feat,,,,5,FALSE
if_crtstrk02.png,,Improved Critical Strike,Feat,,,Critical Strike,10,FALSE
if_crtstrk03.png,,Master Critical Strike,Feat,,,Improved Critical Strike,15,FALSE
if_deflect.png,,Deflect,Feat,,,?,5,FALSE
if_dodge01.png,,Uncanny Dodge II,Feat,,,,5,FALSE
if_dodge02.png,,Uncanny Dodge II,Feat,,,Uncanny Dodge II,10,FALSE
if_drdinterf.png,,Droid Interface,Feat,,"This feat gives the Droid the ability to speak with other droids who don't speak a sentient language. Granted to Expert Droids.

This feat can also be selected by a Combat Droid.",Droid,5,FALSE
if_droidac01.png,,Logic Upgrade,Feat,,,,5,FALSE
if_droidac02.png,,Logic Upgrade: Tactician,Feat,,,Logic Upgrade,10,FALSE
if_droidac03.png,,Logic Upgrade: Mastermind,Feat,,,Logic Upgrade: Tactician,15,FALSE
if_droidup01.png,,Class 1 Droid Upgrade,Feat,,,,5,FALSE
