File name,Icon,Name,Type,Subtype,Description,Prerequisite,Cost,Visible
ip_advjump.png,,Advanced Jump,Power,Universal,,,,FALSE
ip_affectmind.png,,Affect Mind,Power,Universal,"Affect and Dominate Mind enable persuasive use of the Force. Once a Jedi has this power, extra options will appear in conversations as appropriate. Success is not guaranteed for extreme commands or if the target is strong willed. Dominate Mind is more powerful than Affect Mind, and very few beings can resist its effects. This power does not affect droids. Only the main character can select this power during level-up.",,,FALSE
ip_affliction.png,,Affliction,Power,Dark Side,Affliction causes a target to suffer as though poisoned.,,,FALSE
ip_alter.png,,,Power,,,,,FALSE
ip_armor.png,,Armor,Power,,"Restricted by Armor

When this power is activated, the Jedi is temporarily granted a bonus to Defense and all saving throws.",,,FALSE
ip_aura.png,,Aura,Power,,"Restricted by Armor

When this power is activated, the Jedi is temporarily granted a bonus to Defense and all saving throws.",,,FALSE
ip_batlprecog.png,,Battle Precognition,Power,,This power allows the Jedi to sense the flows of the Force and increases the Jedi's reaction time in combat. The Jedi adds their Wisdom modifier to their Defense.,,,TRUE
ip_battlemed01.png,,Battle Meditation,Power,Universal,"Restricted by Armor

This power also increases the vitality point regeneration rate of the party (doubling it, although this doesn't include Regeneration item bonuses, which are simply added afterward). This effect lasts for 20 seconds and will not affect any droids in the party.

Misc. effect damage added by this power is not multiplied by a Critical Hit.",,,TRUE
ip_battlemed02.png,,Improved Battle Meditation,Power,Universal,"Restricted by Armor

This power also increases the vitality point regeneration rate of the party (doubling it, although this doesn't include Regeneration item bonuses, which are simply added afterward). This effect lasts for 20 seconds and will not affect any droids in the party.

Misc. effect damage added by this power is not multiplied by a Critical Hit.",,,TRUE
ip_battlemed03.png,,Master Battle Meditation,Power,Universal,"Restricted by Armor

This power also increases the vitality point regeneration rate of the party (doubling it, although this doesn't include Regeneration item bonuses, which are simply added afterward). This effect lasts for 20 seconds and will not affect any droids in the party.

Misc. effect damage added by this power is not multiplied by a Critical Hit.",,,TRUE
ip_beastconf.png,,Beast Control,Power,Universal,,,,FALSE
ip_beasttrick.png,,Beast Trick,Power,Universal,,,,FALSE
ip_breach.png,,Breach,Power,Universal,,,,FALSE
ip_breath.png,,Breath Control,Power,Universal,,,,FALSE
ip_choke.png,,Choke,Power,Dark Side,,,,FALSE
ip_confusion.png,,Confusion,Power,Universal,,Mind Trick,,FALSE
ip_control.png,,,Power,,,,,FALSE
ip_crushop01.png,,,Power,,,,,FALSE
ip_crushop02.png,,,Power,,,,,FALSE
ip_crushop03.png,,,Power,,,,,FALSE
ip_crushop04.png,,,Power,,,,,FALSE
ip_crushop05.png,,,Power,,,,,FALSE
ip_crushop06.png,,,Power,,,,,FALSE
ip_cure.png,,Cure,Power,Light Side,,,,FALSE
ip_deathfield.png,,Death Field,Power,Dark Side,,,,FALSE
ip_dominate.png,,Dominate,Power,,,,,FALSE
ip_drainforce01.png,,Drain Force,Power,Dark Side,,,,FALSE
ip_drainforce02.png,,Improved Drain Force,Power,Dark Side,,,,FALSE
ip_drainforce03.png,,Master Drain Force,Power,Dark Side,,,,FALSE
ip_drainlife.png,,Drain Life,Power,Dark Side,,,,FALSE
ip_droiddestroy.png,,Destroy Droid,Power,Universal,,,,FALSE
ip_droiddisable.png,,Disable Droid,Power,Universal,,,,FALSE
ip_droidstun.png,,Stun Droid,Power,Universal,,,,FALSE
ip_fear.png,,Fear,Power,Dark Side,,,,FALSE
ip_foccontr.png,,,Power,,,,,FALSE
ip_focmaster.png,,,Power,,,,,FALSE
ip_focsense.png,,,Power,,,,,FALSE
ip_forcebody01.png,,Force Body,Power,Universal,,,,FALSE
ip_forcebody02.png,,Improved Force Body,Power,Universal,,,,FALSE
ip_forcebody03.png,,Master Force Body,Power,Universal,,,,FALSE
ip_forcecamo01.png,,Camouflage,Power,Universal,Enable the Jedi character to use their Stealth skill without a Stealth Field Generator. The power lasts until the character deactivates it.,,,FALSE
ip_forcecamo02.png,,Improved Camouflage,Power,Universal,,,,FALSE
ip_forcecamo03.png,,Master Camouflage,Power,Universal,,,,FALSE
ip_forcecrush.png,,Crush,Power,Dark Side,,,,FALSE
ip_forcesight.png,,Force Sight,Power,Universal,,,,FALSE
ip_frcbarrier01.png,,Barrier,Power,Light Side,,,,FALSE
ip_frcbarrier02.png,,Improved Barrier,Power,Light Side,,,,FALSE
ip_frcbarrier03.png,,Master barrier,Power,Light Side,,,,FALSE
ip_frcenlight.png,,Enlightenment,Power,Light Side,,,,FALSE
ip_frcredirect.png,,Deflection,Power,Universal,,,,FALSE
ip_frcrepulse.png,,Redirection,Power,Universal,,,,FALSE
ip_frcscream01.png,,Scream,Power,Dark Side,,,,TRUE
ip_frcscream02.png,,Improved Scream,Power,Dark Side,,,,TRUE
ip_frcscream03.png,,Master Scream,Power,Dark Side,,,,TRUE
ip_fury01.png,,Fury,Power,,,,,FALSE
ip_fury02.png,,Improved Fury,Power,,,,,FALSE
ip_fury03.png,,Master Fury,Power,,,,,FALSE
ip_heal.png,,Heal,Power,Light Side,,,,FALSE
ip_hold.png,,Stasis,Power,,,,,FALSE
ip_horror.png,,Horror,Power,,,,,FALSE
ip_immunity.png,,,Power,,,,,FALSE
ip_insanity.png,,Insanity,Power,,,,,FALSE
ip_inspfol01.png,,,Power,,,,,FALSE
ip_inspfol02.png,,,Power,,,,,FALSE
ip_inspfol03.png,,,Power,,,,,FALSE
ip_inspfol04.png,,,Power,,,,,FALSE
ip_inspfol05.png,,,Power,,,,,FALSE
