File name,Icon,Name,Type,Subtype,Description,Prerequisite,Cost,Visible,Damage,Defese Bonus,Upgradeable
iw_stunbaton_001.png,,,Melee Weapon,Baton,,,,FALSE,,,
iw_stunbaton_002.png,,,Melee Weapon,Baton,,,,FALSE,,,
iw_stunbaton_003.png,,,Melee Weapon,Baton,,,,FALSE,,,
iw_stunbaton_004.png,,,Melee Weapon,Baton,,,,FALSE,,,
iw_stunbaton_005.png,,Plasma Torch,Melee Weapon,Baton,,,,FALSE,,,
iw_vbrdblswd_001.png,,,Melee Weapon,,,,,FALSE,,,
iw_vbrdblswd_002.png,,,Melee Weapon,,,,,FALSE,,,
iw_vbrdblswd_003.png,,,Melee Weapon,,,,,FALSE,,,
iw_vbrdblswd_004.png,,,Melee Weapon,,,,,FALSE,,,
iw_vbroshort_001.png,,,Melee Weapon,,,,,FALSE,,,
iw_vbroshort_002.png,,,Melee Weapon,,,,,FALSE,,,
iw_vbroshort_003.png,,,Melee Weapon,,,,,FALSE,,,
iw_vbroshort_004.png,,,Melee Weapon,,,,,FALSE,,,
iw_vbroswrd_001.png,,,Melee Weapon,,,,,FALSE,,,
iw_vbroswrd_002.png,,,Melee Weapon,,,,,FALSE,,,
iw_vbroswrd_003.png,,,Melee Weapon,,,,,FALSE,,,
iw_vbroswrd_004.png,,,Melee Weapon,,,,,FALSE,,,
iw_vbroswrd_005.png,,,Melee Weapon,,,,,FALSE,,,
iw_vbroswrd_006.png,,,Melee Weapon,,,,,FALSE,,,
iw_waraxe_001.png,,,Melee Weapon,,,,,FALSE,,,
iw_waraxe_002.png,,,Melee Weapon,,,,,FALSE,,,
iw_waraxe_003.png,,,Melee Weapon,,,,,FALSE,,,
iw_warblade_001.png,,,Melee Weapon,,,,,FALSE,,,
iw_shortsbr_001.png,,Blue Shortsaber,Lightsaber,Shortsaber,,Jedi Training,1,FALSE,1d6,1d6,
iw_shortsbr_002.png,,Red Shortsaber,Lightsaber,Shortsaber,,Jedi Training,1,FALSE,1d6,1d6,
iw_shortsbr_003.png,,Green Shortsaber,Lightsaber,Shortsaber,,Jedi Training,1,FALSE,1d6,1d6,
iw_shortsbr_004.png,,Yellow Shortsaber,Lightsaber,Shortsaber,,Jedi Training,1,FALSE,1d6,1d6,
iw_shortsbr_005.png,,Purple Shortsaber,Lightsaber,Shortsaber,,Jedi Training,1,FALSE,1d6,1d6,
iw_shortsbr_006.png,,Orange Shortsaber,Lightsaber,Shortsaber,,Jedi Training,1,FALSE,1d6,1d6,
iw_shortsbr_007.png,,Cyan Shortsaber,Lightsaber,Shortsaber,,Jedi Training,1,FALSE,1d6,1d6,
iw_shortsbr_008.png,,Viridian Shortsaber,Lightsaber,Shortsaber,,Jedi Training,1,FALSE,1d6,1d6,
iw_shortsbr_009.png,,Silver Shortsaber,Lightsaber,Shortsaber,,Jedi Training,1,FALSE,1d6,1d6,
iw_shortswrd_001.png,,,Melee Weapon,Shortsword,,,,FALSE,,,
iw_shortswrd_002.png,,,Melee Weapon,Shortsword,,,,FALSE,,,
iw_shortswrd_003.png,,,Melee Weapon,Shortsword,,,,FALSE,,,
iw_shortswrd_004.png,,,Melee Weapon,Shortsword,,,,FALSE,,,
iw_qtrstaff_001.png,,,Melee Weapon,Quarterstaff,,,,FALSE,,,
iw_qtrstaff_002.png,,,Melee Weapon,Quarterstaff,,,,FALSE,,,
iw_qtrstaff_003.png,,,Melee Weapon,Quarterstaff,,,,FALSE,,,
iw_lghtsbr_001.png,,Blue Lightsaber,Lightsaber,,,Jedi Training,1,TRUE,1d8,1d4,
iw_lghtsbr_002.png,,Red Lightsaber,Lightsaber,,,Jedi Training,1,TRUE,1d8,1d4,
iw_lghtsbr_003.png,,Green Lightsaber,Lightsaber,,,Jedi Training,1,FALSE,1d8,1d4,
iw_lghtsbr_004.png,,Yellow Lightsaber,Lightsaber,,,Jedi Training,1,FALSE,1d8,1d4,
iw_lghtsbr_005.png,,Purple Lightsaber,Lightsaber,,,Jedi Training,1,FALSE,1d8,1d4,
iw_lghtsbr_006.png,,White Lightsaber,Lightsaber,,,Jedi Training,1,FALSE,1d8,1d4,
iw_lghtsbr_007.png,,Orange Lightsaber,Lightsaber,,,Jedi Training,1,FALSE,1d8,1d4,
iw_lghtsbr_008.png,,Cyan Lightsaber,Lightsaber,,,Jedi Training,1,FALSE,1d8,1d4,
iw_lghtsbr_009.png,,Viridian Lightsaber,Lightsaber,,,Jedi Training,1,FALSE,1d8,1d4,
iw_lghtsbr_010.png,,Silver Lightsaber,Lightsaber,,,Jedi Training,1,FALSE,1d8,1d4,
iw_lghtsbr_011.png,,Curved-hilt Lightsaber,Lightsaber,,,Jedi Training,1,TRUE,1d8,1d4,
iw_lngswrd_001.png,,,Melee Weapon,Longsword,,,,FALSE,,,
iw_lngswrd_002.png,,,Melee Weapon,Longsword,,,,FALSE,,,
iw_lngswrd_003.png,,,Melee Weapon,Longsword,,,,FALSE,,,
iw_lngswrd_004.png,,,Melee Weapon,Longsword,,,,FALSE,,,
iw_lngswrd_005.png,,,Melee Weapon,Longsword,,,,FALSE,,,
iw_gaffi01.png,,Gaffi Stick,Melee Weapon,,,,,FALSE,,,
iw_gaffi_001.png,,Gaffi Staff,Melee Weapon,,,,,FALSE,,,
iw_forcepike_001.png,,Forcepike,Melee Weapon,,,,,FALSE,,,
